,entry,label
0,"An Absurd Reasoning Absurdity and Suicide There is but one truly serious philosophical problem, and that is suicide. Judging whether life is or is not worth living amounts to answering the fundamental question of philosophy. All the rest— whether or not the world has three dimensions, whether the mind has nine or twelve categories—comes afterwards. These are games; one must first answer. And if it is true, as Nietzsche claims, that a philosopher, to deserve our respect, must preach by example, you can appreciate the importance of that reply, for it will precede the definitive act. These are facts the heart can feel; yet they call for careful study before they become clear to the intellect. If I ask myself how to judge that this question is more urgent than that, I reply that one judges by the actions it entails. I have never seen anyone die for the ontologi-cal argument. Galileo, who held a scientific truth of great importance, abjured it with the greatest ease as soon as it endangered his life. In a certain sense, he did rightThat truth was not worth the stake. Whether the earth or the sun revolves around the other is a matter of profound indifference. To tell the truth, it is a futile question. On the other hand, I see many people die because they judge that life is not worth living. I see others paradoxically getting killed for the ideas or illusions that give them a reason for living (what is called a reason for living is also an excellent reason for dying). I therefore conclude that the meaning of life is the most urgent of questions. How to answer it? On all essential problems (I mean thereby those that run the risk of leading to death or those that intensify the",absurdism
1,"passion of living) there are probably but two methods of thought: the method of La Palisse and the method of Don Quixote. Solely the balance between evidence and lyricism can allow us to achieve simultaneously emotion and lucidity. In a subject at once so humble and so heavy with emotion, the learned and classical dialectic must yield, one can see, to a more modest attitude of mind deriving at one and the same time from common sense and understanding. Suicide has never been dealt with except as a social phenomenon. On the contrary, we are concerned here, at the outset, with the relationship between individual thought and suicide. An act like this is prepared within the silence of the heart, as is a great work of art. The man himself is ignorant of it. One evening he pulls the trigger or jumps. Of an apartment-building manager who had killed himself I was told that he had lost his daughter five years before, that be bad changed greatly since, and that that experience had “undermined” him. A more exact word cannot be imagined. Beginning to think is beginning to be undermined. Society has but little connection with such beginnings. The worm is in man’s heart. That is where it must be sought. One must follow and understand this fatal game that leads from lucidity in the face of existence to flight from light. There are many causes for a suicide, and generally the most obvious ones were not the most powerful. Rarely is suicide committed (yet the hypothesis is not excluded) through reflection. What sets off the crisis is almost always unverifiable. Newspapers often speak of “personal sorrows” or of “incurable illness.” These explanations are plausible. But one would have to know whether a friend of the desperate man had not",absurdism
2,"that very day addressed him indifferently. He is the guilty one. For that is enough to precipitate all the rancors and all the boredom still in suspension.^ But if it is hard to fix the precise instant, the subtle step when the mind opted for death, it is easier to deduce from the act itself the consequences it implies. In a sense, and as in melodrama, killing yourself amounts to confessing. It is confessing that life is too much for you or that you do not understand it. Let’s not go too far in such analogies, however, but rather return to everyday words. It is merely confessing that that “is not worth the trouble.” Living, naturally, is never easy. You continue making the gestures commanded by existence for many reasons, the first of which is habit. Dying voluntarily implies that you have recognized, even instinc— tively, the ridiculous character of that habit, the absence of any profound reason for living, the insane character of that daily agitation, and the uselessness of suffering. What, then, is that incalculable feeling that deprives the mind of the sleep necessary to life? A world that can be explained even with bad reasons is a familiar world. But, on the other hand, in a universe suddenly divested of illusions and lights, man feels an alien, a stranger. His exile is without remedy since he is deprived of the memory of a lost home or the hope of a promised land. This divorce between man and this life, the actor and his setting, is properly the feeling of absurdity. All healthy men having thought of their own suicide, it can be seen, without further explanation, that there is a direct connection between this feeling and the longing for death. The subject of this essay is precisely",absurdism
3,"this relationship between the absurd and suicide, the exact degree to which suicide is a solution to the absurd. The principle can be established that for a man who does not cheat, what he believes to be true must detennine his action. Belief in the absurdity of existence must then dictate his conduct. It is legitimate to wonder, clearly and without false pathos, whether a conclusion of this importance requires forsaking as rapidly as possible an incomprehensible condition. I am speaking, of course, of men inclined to be in harmony with themselves. Stated clearly, this problem may seem both simple and insoluble. But it is wrongly assumed that simple questions involve answers that are no less simple and that evidence implies evidence. A priori and reversing the terms of the problem, just as one does or does not kill oneself, it seems that there are but two philosophical solutions, either yes or no. This would be too easy. But allowance must be made for those who, without concluding, continue questioning. Here I am only slightly indulging in irony: this is the majority. I notice also that those who answer “no” act as if they thought “yes.” As a matter of fact, if I accept the Nietzschean criterion, they think “yes” in one way or another. On the other hand, it often happens that those who commit suicide were assured of the meaning of life. These contradictions are constant. It may even be said that they have never been so keen as on this point where, on the contrary, logic seems so desirable. It is a commonplace to compare philosophical theories and the behavior of those who profess them. But it must be said that of the thinkers who refused a meaning to life none except Kirilov who belongs to literature,",absurdism
4,"Peregrinos who is born of legend, m and Jules Lequier who belongs to hypothesis, admitted his logic to the point of refusing that life. Schopenhauer is often cited, as a fit subject for laughter, because he praised suicide while seated at a well-set table. This is no subject for joking. That way of not taking the tragic seriously is not so grievous, but it helps to judge a man. In the face of such contradictions and obscurities must we conclude that there is no relationship between the opinion one has about life and the act one commits to leave it? Let us not exaggerate in this direction. In a man’s attachment to life there is something stronger than all the ills in the world. The body’s judgment is as good as the mind’s and the body shrinks from annihilation. We get into the habit of living before acquiring the habit of thinking. In that race which daily hastens us toward death, the body maintains its irreparable lead. In short, the essence of that contradiction lies in what I shall call the act of eluding because it is both less and more than diversion in the Pascalian sense. Eluding is the invariable game. The typical act of eluding, the fatal evasion that constitutes the third theme of this essay, is hope. Hope of another life one must “deserve” or trickery of those who live not for life itself but for some great idea that will transcend it, refine it, give it a meaning, and betray it. Thus everything contributes to spreading confusion. Hitherto, and it has not been wasted effort, people have played on words and pretended to believe that refusing to grant a meaning to life necessarily leads to declaring that it is not worth living. In truth, there is",absurdism
5,"no necessary common measure between these two judgments. One merely has to refuse to he misled by the confusions, divorces, and inconsistencies previously pointed out. One must brush everything aside and go straight to the real problem. One kills oneself because life is not worth living, that is certainly a truth yet an unfruitful one because it is a truism. But does that insult to existence, that flat denial in which it is plunged come from the fact that it has no meaning? Does its absurdity require one to escape it through hope or suicide—this is what must be clarified, hunted down, and elucidated while brushing aside all the rest. Does the Absurd dictate death? This problem must be given priority over others, outside all methods of thought and all exercises of the disinterested mind. Shades of meaning, contradictions, the psychology that an “objective” mind can always introduce into all problems have no place in this pursuit and this passion. It calls simply for an unjust—in other words, logical— thought. That is not easy. It is always easy to be logical. It is almost impossible to be logical to the bitter end. Men who die by their own hand consequently follow to its conclusion their emotional inclination. Reflection on suicide gives me an opportunity to raise the only problem to interest me: is there a logic to the point of death? I cannot know unless I pursue, without reckless passion, in the sole light of evidence, the reasoning of which I am here suggesting the source. This is what I call an absurd reasoning. Many have begun it. I do not yet know whether or not they kept to it. When Karl Jaspers, revealing the impossibility of constituting the world as a unity, exclaims: “This limitation leads me to myself,",absurdism
6,"where I can no longer withdraw behind an objective point of view that I am merely representing, where neither I myself nor the existence of others can any longer become an object for me,” he is evoking after many others those waterless deserts where thought reaches its confines. After many others, yes indeed, but how eager they were to get out of them! At that last crossroad where thought hesitates, many men have arrived and even some of the humblest. They then abdicated what was most precious to them, their life. Others, princes of the mind, abdicated likewise, but they initiated the suicide of their thought in its purest revolt. The real effort is to stay there, rather, in so far as that is possible, and to examine closely the odd vegetation of those distant regions. Tenacity and acumen are privileged spectators of this inhuman show in which absurdity, hope, and death carry on their dialogue. The mind can then analyze the figures of that elementary yet subtle dance before illustrating them and reliving them itself. Absurd Walls Like great works, deep feelings always mean more than they are conscious of saying. The regularity of an impulse or a repulsion in a soul is encountered again in habits of doing or thinking, is reproduced in consequences of which the soul itself knows nothing. Great feelings take with them their own universe, splendid or abject. They light up with their passion an exclusive world in which they recognize their climate. There is a universe of jealousy, of ambition, of selfishness, or of generosity. A universe in other words, a metaphysic and an attitude of mind. What is true of already specialized feelings will be even more so of emotions basically as indeterminate, simultaneously as vague and as “definite,” as remote and",absurdism
7,"as “present” as those furnished us by beauty or aroused by absurdity. At any streetcorner the feeling of absurdity can strike any man in the face. As it is, in its distressing nudity, in its light without effulgence, it is elusive. But that very difficulty deserves reflection. It is probably true that a man remains forever unknown to us and that there is in him something irreducible that escapes us. But practically I know men and recognize them by their behavior, by the totality of their deeds, by the consequences caused in life by their presence. Likewise, all those irrational feelings which offer no purchase to analysis. I can define them practically, appreciate them practically, by gathering together the sum of their consequences in the domain of the intelligence, by seizing and noting all their aspects, by outlining their universe. It is certain that apparently, though I have seen the same actor a hundred times, I shall not for that reason know him any better personally. Yet if I add up the heroes he has personified and if I say that I know him a little better at the hundredth character counted off, this will be felt to contain an element of truth. For this apparent paradox is also an apologue. There is a moral to it. It teaches that a man defines himself by his make-believe as well as by his sincere impulses. There is thus a lower key of feelings, inaccessible in the heart but partially disclosed by the acts they imply and the attitudes of mind they assume. It is clear that in this way I am defining a method. But it is also evident that that method is one of analysis and not of knowledge. For methods imply metaphysics; unconsciously they disclose conclusions that they often",absurdism
8,"claim not to know yet. Similarly, the last pages of a book are already contained in the first pages. Such a link is inevitable. The method defined here acknowledges the feeling that all true knowledge is impossible. Solely appearances can be enumerated and the climate make itself felt. Perhaps we shall be able to overtake that elusive feeling of absurdity in the different but closely related worlds of intelligence, of the art of living, or of art itself. The climate of absurdity is in the beginning. The end is the absurd universe and that attitude of mind which lights the world with its true colors to bring out the privileged and implacable visage which that attitude has discerned in it. H= * All great deeds and all great thoughts have a ridiculous beginning. Great works are often born on a street-comer or in a restaurant’s revolving door. So it is with absurdity. The absurd world more than others derives its nobility from that abject birth. In certain situations, replying “nothing” when asked what one is thinking about may be pretense in a man. Those who are loved are well aware of this. But if that reply is sincere, if it symbolizes that odd state of soul in which the void be-comes eloquent, in which the chain of daily gestures is broken, in which the heart vainly seeks the link that will connect it again, then it is as it were the first sign of absurdity. It happens that the stage sets collapse. Rising, streetcar, four hours in the office or the factory, meal, streetcar, four hours of work, meal, sleep, and Monday Tuesday Wednesday Thursday Friday and Saturday accord— ing to the same rhythm—this path is easily followed most of the time. But one day the “why” arises and everything",absurdism
9,"begins in that weariness tinged with amazement. “Begins”—this is important. Weariness comes at the end of the acts of a mechanical life, but at the same time it inaugurates the impulse of consciousness. It awakens consciousness and provokes what follows. What follows is the gradual return into the chain or it is the definitive awakening. At the end of the awakening comes, in time, the consequence: suicide or recovery. In itself weariness has something sickening about it. Here, I must conclude that it is good. For everything be-gins with consciousness and nothing is worth anything except through it. There is nothing original about these remarks. But they are obvious; that is enough for a while, during a sketchy reconnaissance in the origins of the absurd. Mere “anxiety,” as Heidegger says, is at the source of everything. Likewise and during every day of an unillustrious life, time carries us. But a moment always comes when we have to carry it. We live on the future: “tomorrow,” “later on,” “when you have made your way,” “you will understand when you are old enough.” Such irrelevan-cies are wonderful, for, after all, it’s a matter of dying. Yet a day comes when a man notices or says that he is thirty. Thus he asserts his youth. But simultaneously he situates himself in relation to time. He takes his place in it. He admits that he stands at a certain point on a curve that he acknowledges having to travel to its end. He belongs to time, and by the horror that seizes him, he recognizes his worst enemy. Tomorrow, he was longing for tomorrow, whereas everything in him ought to reject it. That revolt of the flesh is the absurd. 1 ^ A step lower and strangeness creeps in: perceiving that the world is",absurdism
